Year,Return,Risk,VolumeVar,Volume
2000,"-0,01135850106","0,4980047499","-0,3463289241",186730000
2001,"-0,1438718014","0,1235443849","-0,1020809438",177040000
2002,"-0,128149578","0,2048823526","-0,324270073",217760000
2003,"-0,2383851707","0,1414852371","-0,163921145",198140000
2004,"-0,375206816","0,2320029424","0,1661821705",190350000
2005,"0,1609166955","0,1965799869","0,07630522088",202700000
2006,"0,01558369574","0,2263963638","-0,05159547092",221520000
2007,"0,2544763744","0,1617853256","0,04571971239",232330000
2008,"0,05538636592","0,1677230531","-0,2848988064",220360000
2009,"0,05553970066","0,1882273448","-0,240203193",209520000
2010,"-0,01761922644","0,1677422333","-0,2151384909",270520000
2011,"-0,3990856549","0,190216796","0,01916641314",126650000
2012,"0,5137019414","0,3772379761","1,239104478",122060000
2013,"-0,2495881661","0,1637813745","34,46193841",99880000
2014,"-0,1402042919","0,1587437698","-0,04135338346",95990000
2015,"-0,3655264049","0,226644519","-0,08235294118",103190000
2016,"-0,1027388823","0,2252686729","2,538461538",97540000
2017,"-0,4992906503","0,2017032488","-0,134057971",119850000
2018,"0,1626907961","0,3455325742","-0,2775453278",97400000
2019,"0,3892775725","0,3094757574","0,2799227799",90980000
2020,"-0,07270978329","0,3285785202","0,6606334842",101110000