Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2009-05-01,47.290.000.000,53.806.000.000,47.290.000.000,53.198.000.000,53.198.000.000,35239600,,"0,1249312751",,,,,,,,,,,,,,,
2009-06-01,53.202.000.000,54.955.000.000,49.130.000.000,51.465.000.000,51.465.000.000,30445600,,"-0,03257641265",,,,,,,,,,,,,,,
2009-07-01,51.464.000.000,55.083.000.000,48.262.000.000,54.766.000.000,54.766.000.000,29458000,,"0,06414067813",,,,,,,,,,,,,,,
2009-08-01,54.766.000.000,58.634.000.000,54.766.000.000,56.489.000.000,56.489.000.000,27932200,,"0,03146112552",,,,,,,,,,,,,,,
2009-09-01,56.489.000.000,62.017.000.000,55.339.000.000,61.518.000.000,61.518.000.000,28071600,,"0,08902618209",,,,,,,,,,,,,,,
2009-10-01,61.519.000.000,67.530.000.000,59.678.000.000,61.546.000.000,61.546.000.000,33944200,,"0,0004551513378",,,,,,,,,,,,,,,
2009-11-01,61.539.000.000,68.060.000.000,60.724.000.000,67.044.000.000,67.044.000.000,30950400,,"0,08933155688",,,,,,,,,,,,,,,
2009-12-01,67.051.000.000,69.785.000.000,65.925.000.000,68.588.000.000,68.588.000.000,25856400,,"0,02302965217",,,,,,,,,,,,,,,
2010-01-01,68.587.000.000,71.068.000.000,64.541.000.000,65.402.000.000,65.402.000.000,32866000,,"-0,04645127428",,,,,,,,,,,,,,,
2010-02-01,65.402.000.000,68.120.000.000,61.341.000.000,66.503.000.000,66.503.000.000,27096400,,"0,01683434757",,,,,,,,,,,,,,,
2010-03-01,66.511.000.000,70.486.000.000,66.511.000.000,70.372.000.000,70.372.000.000,37817200,,"0,05817782656",,,,,,,,,,,,,,,
2010-04-01,70.375.000.000,71.989.000.000,65.914.000.000,67.530.000.000,67.530.000.000,34294000,,"-0,04038538055",,,,,,,,,,,,,,,
2010-05-01,67.534.000.000,67.969.000.000,57.634.000.000,63.047.000.000,63.047.000.000,52407200,,"-0,06638531023",,,,,,,,,,,,,,,
2010-06-01,63.033.000.000,65.831.000.000,60.936.000.000,60.936.000.000,60.936.000.000,36575200,,"-0,03348295716",,,,,,,,,,,,,,,
2010-07-01,60.935.000.000,67.608.000.000,60.056.000.000,67.515.000.000,67.515.000.000,34777400,,"0,1079657345",,,,,,,,,,,,,,,
2010-08-01,67.524.000.000,68.754.000.000,63.804.000.000,65.145.000.000,65.145.000.000,38356200,,"-0,03510331038",,,,,,,,,,,,,,,
2010-09-01,65.154.000.000,69.737.000.000,65.154.000.000,69.430.000.000,69.430.000.000,43837400,,"0,06577634508",,,,,,,,,,,,,,,
2010-10-01,69.438.000.000,72.140.000.000,68.847.000.000,70.673.000.000,70.673.000.000,48426200,,"0,01790292381",,,,,,,,,,,,,,,
2010-11-01,70.686.000.000,73.103.000.000,67.103.000.000,67.705.000.000,67.705.000.000,30655600,,"-0,04199623619",,,,,,,,,,,,,,,
2010-12-01,67.731.000.000,70.589.000.000,66.948.000.000,69.305.000.000,69.305.000.000,27004200,,"0,02363193265",,,,,,,,,,,,,,,
2011-01-01,69.310.000.000,71.924.000.000,65.898.000.000,66.575.000.000,66.575.000.000,41876200,,"-0,03939109732",,,,,,,,,,,,,,,
2011-02-01,66.575.000.000,68.226.000.000,64.016.000.000,67.383.000.000,67.383.000.000,48663800,,"0,01213668795",,,,,,,,,,,,,,,
2011-03-01,67.381.000.000,68.606.000.000,65.463.000.000,68.587.000.000,68.587.000.000,45965400,,"0,01786800825",,,,,,,,,,,,,,,
2011-04-01,68.588.000.000,70.108.000.000,65.105.000.000,66.133.000.000,66.133.000.000,34800400,,"-0,0357793751",,,,,,,,,,,,,,,
2011-05-01,66.119.000.000,66.500.000.000,61.659.000.000,64.620.000.000,64.620.000.000,48359800,,"-0,02287813951",,,,,,,,,,,,,,,
2011-06-01,64.616.000.000,64.979.000.000,60.489.000.000,62.404.000.000,62.404.000.000,39742200,,"-0,03429278861",,,,,,,,,,,,,,,
2011-07-01,62.404.000.000,63.891.000.000,58.009.000.000,58.823.000.000,58.823.000.000,41716000,,"-0,05738414204",,,,,,,,,,,,,,,
2011-08-01,58.823.000.000,59.542.000.000,47.793.000.000,56.495.000.000,56.495.000.000,72287600,,"-0,03957635619",,,,,,,,,,,,,,,
2011-09-01,56.498.000.000,58.589.000.000,51.897.000.000,52.324.000.000,52.324.000.000,54664800,,"-0,07382954244",,,,,,,,,,,,,,,
2011-10-01,52.319.000.000,59.901.000.000,49.433.000.000,58.338.000.000,58.338.000.000,53851800,,"0,1149376959",,,,,,,,,,,,,,,
2011-11-01,58.300.000.000,59.616.000.000,54.537.000.000,56.875.000.000,56.875.000.000,48805400,,"-0,02507799376",,,,,,,,,,,,,,,
2011-12-01,56.876.000.000,59.576.000.000,55.298.000.000,56.754.000.000,56.754.000.000,50819200,,"-0,002127472527",,,,,,,,,,,,,,,
2012-01-01,57.836.000.000,63.805.000.000,57.836.000.000,63.072.000.000,63.072.000.000,52505600,,"0,11132255",,,,,,,,,,,,,,,
2012-02-01,63.085.000.000,66.662.000.000,63.085.000.000,65.812.000.000,65.812.000.000,52916000,,"0,04344241502",,,,,,,,,,,,,,,
2012-03-01,65.812.000.000,68.970.000.000,64.096.000.000,64.511.000.000,64.511.000.000,55588800,,"-0,01976843129",,,,,,,,,,,,,,,
2012-04-01,64.515.000.000,65.593.000.000,60.897.000.000,61.820.000.000,61.820.000.000,54261600,,"-0,04171381625",,,,,,,,,,,,,,,
2012-05-01,61.820.000.000,62.783.000.000,53.028.000.000,54.490.000.000,54.490.000.000,77092600,,"-0,1185700421",,,,,,,,,,,,,,,
2012-06-01,54.488.000.000,57.611.000.000,52.271.000.000,54.355.000.000,54.355.000.000,62934200,,"-0,002477518811",,,,,,,,,,,,,,,
2012-07-01,54.355.000.000,57.466.000.000,52.213.000.000,56.097.000.000,56.097.000.000,59275600,,"0,03204856959",,,,,,,,,,,,,,,
2012-08-01,56.091.000.000,60.209.000.000,55.239.000.000,57.061.000.000,57.061.000.000,75582200,,"0,01718451967",,,,,,,,,,,,,,,
2012-09-01,57.065.000.000,63.428.000.000,56.203.000.000,59.176.000.000,59.176.000.000,70744000,,"0,03706559647",,,,,,,,,,,,,,,
2012-10-01,59.171.000.000,60.412.000.000,56.581.000.000,57.068.000.000,57.068.000.000,62249200,,"-0,03562254968",,,,,,,,,,,,,,,
2012-11-01,57.065.000.000,59.561.000.000,55.126.000.000,57.475.000.000,57.475.000.000,62039600,,"0,007131842714",,,,,,,,,,,,,,,
2012-12-01,57.479.000.000,61.322.000.000,57.129.000.000,60.952.000.000,60.952.000.000,62250400,,"0,06049586777",,,,,,,,,,,,,,,
2013-01-01,60.990.000.000,63.473.000.000,59.114.000.000,59.761.000.000,59.761.000.000,77083400,,"-0,01953996587",,,,,,,,,,,,,,,
2013-02-01,59.764.000.000,60.496.000.000,55.430.000.000,57.424.000.000,57.424.000.000,71082200,,"-0,03910577132",,,,,,,,,,,,,,,
2013-03-01,57.422.000.000,59.472.000.000,54.648.000.000,56.352.000.000,56.352.000.000,86585200,,"-0,01866815269",,,,,,,,,,,,,,,
2013-04-01,56.348.000.000,56.976.000.000,52.392.000.000,55.910.000.000,55.910.000.000,106426600,,"-0,007843554798",,,,,,,,,,,,,,,
2013-05-01,55.919.000.000,57.099.000.000,52.942.000.000,53.506.000.000,53.506.000.000,108599200,,"-0,04299767483",,,,,,,,,,,,,,,
2013-06-01,53.512.000.000,54.289.000.000,45.406.000.000,47.457.000.000,47.457.000.000,114211000,,"-0,1130527417",,,,,,,,,,,,,,,
2013-07-01,47.458.000.000,49.669.000.000,44.107.000.000,48.234.000.000,48.234.000.000,113296800,,"0,01637271635",,,,,,,,,,,,,,,
2013-08-01,48.235.000.000,52.398.000.000,47.164.000.000,50.008.000.000,50.008.000.000,145179900,,"0,03677903554",,,,,,,,,,,,,,,
2013-09-01,50.012.000.000,55.900.000.000,50.012.000.000,52.338.000.000,52.338.000.000,125978800,,"0,04659254519",,,,,,,,,,,,,,,
2013-10-01,52.337.000.000,56.747.000.000,51.870.000.000,54.256.000.000,54.256.000.000,129969800,,"0,0366464137",,,,,,,,,,,,,,,
2013-11-01,54.255.000.000,54.539.000.000,51.290.000.000,52.482.000.000,52.482.000.000,65607500,,"-0,03269684459",,,,,,,,,,,,,,,
2013-12-01,52.479.000.000,52.479.000.000,49.842.000.000,51.507.000.000,51.507.000.000,54588400,,"-0,0185777981",,,,,,,,,,,,,,,
2014-01-01,51.522.000.000,51.656.000.000,46.814.000.000,47.639.000.000,47.639.000.000,73708400,,"-0,07509658881",,,,,,,,,,,,,,,
2014-02-01,47.623.000.000,48.669.000.000,46.109.000.000,47.094.000.000,47.094.000.000,64038100,,"-0,01144020655",,,,,,,,,,,,,,,
2014-03-01,47.092.000.000,50.418.000.000,44.905.000.000,50.415.000.000,50.415.000.000,67633000,,"0,07051853739",,,,,,,,,,,,,,,
2014-04-01,50.412.000.000,53.394.000.000,49.774.000.000,51.626.000.000,51.626.000.000,72968400,,"0,02402062878",,,,,,,,,,,,,,,
2014-05-01,51.630.000.000,54.459.000.000,51.239.000.000,51.239.000.000,51.239.000.000,73703300,,"-0,007496222833",,,,,,,,,,,,,,,
2014-06-01,51.239.000.000,55.284.000.000,51.239.000.000,53.168.000.000,53.168.000.000,53445000,,"0,03764710474",,,,,,,,,,,,,,,
2014-07-01,53.170.000.000,58.138.000.000,52.735.000.000,55.829.000.000,55.829.000.000,68057900,,"0,05004890159",,,,,,,,,,,,,,,
2014-08-01,55.827.000.000,61.442.000.000,55.239.000.000,61.288.000.000,61.288.000.000,72747400,,"0,09778072328",,,,,,,,,,,,,,,
2014-09-01,61.294.000.000,62.305.000.000,53.536.000.000,54.116.000.000,54.116.000.000,83748800,,"-0,1170212766",,,,,,,,,,,,,,,
2014-10-01,54.115.000.000,58.897.000.000,48.722.000.000,54.629.000.000,54.629.000.000,115826000,,"0,009479636337",,,,,,,,,,,,,,,
2014-11-01,54.629.000.000,57.359.000.000,50.886.000.000,54.664.000.000,54.664.000.000,67382100,,"0,0006406853503",,,,,,,,,,,,,,,
2014-12-01,54.719.000.000,54.719.000.000,45.853.000.000,50.007.000.000,50.007.000.000,69815600,,"-0,08519318016",,,,,,,,,,,,,,,
2015-01-01,50.005.000.000,50.281.000.000,46.484.000.000,46.908.000.000,46.908.000.000,77719800,,"-0,06197132401",,,,,,,,,,,,,,,
2015-02-01,46.933.000.000,52.457.000.000,46.760.000.000,51.583.000.000,51.583.000.000,65310100,,"0,09966317046",,,,,,,,,,,,,,,
2015-03-01,51.580.000.000,52.319.000.000,47.905.000.000,51.150.000.000,51.150.000.000,79890000,,"-0,008394238412",,,,,,,,,,,,,,,
2015-04-01,51.186.000.000,56.965.000.000,51.186.000.000,56.229.000.000,56.229.000.000,81114600,,"0,09929618768",,,,,,,,,,,,,,,
2015-05-01,56.230.000.000,58.575.000.000,52.760.000.000,52.760.000.000,52.760.000.000,67845700,,"-0,06169414359",,,,,,,,,,,,,,,
2015-06-01,52.753.000.000,54.361.000.000,52.548.000.000,53.081.000.000,53.081.000.000,61236200,,"0,006084154663",,,,,,,,,,,,,,,
2015-07-01,53.081.000.000,53.456.000.000,48.624.000.000,50.865.000.000,50.865.000.000,65571800,,"-0,04174751794",,,,,,,,,,,,,,,
2015-08-01,50.867.000.000,50.867.000.000,42.749.000.000,46.626.000.000,46.626.000.000,71135200,,"-0,0833382483",,,,,,,,,,,,,,,
2015-09-01,46.625.000.000,49.396.000.000,43.767.000.000,45.059.000.000,45.059.000.000,79146200,,"-0,03360785828",,,,,,,,,,,,,,,
2015-10-01,45.064.000.000,49.752.000.000,44.789.000.000,45.869.000.000,45.869.000.000,78617500,,"0,0179764309",,,,,,,,,,,,,,,
2015-11-01,45.869.000.000,49.054.000.000,45.106.000.000,45.120.000.000,45.120.000.000,66640000,,"-0,01632911116",,,,,,,,,,,,,,,
2015-12-01,45.121.000.000,47.142.000.000,43.137.000.000,43.350.000.000,43.350.000.000,64358600,,"-0,0392287234",,,,,,,,,,,,,,,
2016-01-01,43.349.000.000,43.349.000.000,37.046.000.000,40.406.000.000,40.406.000.000,70039500,,"-0,06791234141",,,,,,,,,,,,,,,
2016-02-01,40.397.000.000,43.601.000.000,38.596.000.000,42.794.000.000,42.794.000.000,73592000,,"0,05910013364",,,,,,,,,,,,,,,
2016-03-01,42.795.000.000,52.262.000.000,42.795.000.000,50.055.000.000,50.055.000.000,121365300,,"0,1696733187",,,,,,,,,,,,,,,
2016-04-01,50.054.000.000,54.978.000.000,47.874.000.000,53.911.000.000,53.911.000.000,88910200,,"0,07703526121",,,,,,,,,,,,,,,
2016-05-01,53.910.000.000,54.113.000.000,48.292.000.000,48.472.000.000,48.472.000.000,79045000,,"-0,1008885014",,,,,,,,,,,,,,,
2016-06-01,48.468.000.000,51.812.000.000,48.067.000.000,51.527.000.000,51.527.000.000,79032100,,"0,06302607691",,,,,,,,,,,,,,,
2016-07-01,51.540.000.000,57.474.000.000,50.825.000.000,57.308.000.000,57.308.000.000,75165800,,"0,1121936072",,,,,,,,,,,,,,,
2016-08-01,57.309.000.000,59.418.000.000,55.696.000.000,57.901.000.000,57.901.000.000,80937900,,"0,01034759545",,,,,,,,,,,,,,,
2016-09-01,57.901.000.000,60.310.000.000,56.459.000.000,58.367.000.000,58.367.000.000,68141200,,"0,008048220238",,,,,,,,,,,,,,,
2016-10-01,58.370.000.000,65.054.000.000,58.367.000.000,64.925.000.000,64.925.000.000,74450900,,"0,1123580105",,,,,,,,,,,,,,,
2016-11-01,64.922.000.000,65.291.000.000,58.322.000.000,61.906.000.000,61.906.000.000,83065700,,"-0,04649980747",,,,,,,,,,,,,,,
2016-12-01,61.906.000.000,61.936.000.000,56.829.000.000,60.227.000.000,60.227.000.000,64108500,,"-0,02712176526",,,,,,,,,,,,,,,
2017-01-01,60.227.000.000,66.594.000.000,59.371.000.000,64.671.000.000,64.671.000.000,60057300,,"0,07378750394",,,,,,,,,,,,,,,
2017-02-01,64.687.000.000,69.488.000.000,63.740.000.000,66.662.000.000,66.662.000.000,56775200,,"0,03078659677",,,,,,,,,,,,,,,
2017-03-01,66.661.000.000,67.398.000.000,62.496.000.000,64.984.000.000,64.984.000.000,73694400,,"-0,02517176202",,,,,,,,,,,,,,,
2017-04-01,64.989.000.000,66.211.000.000,62.826.000.000,65.403.000.000,65.403.000.000,51935600,,"0,006447740982",,,,,,,,,,,,,,,
2017-05-01,65.404.000.000,68.792.000.000,60.315.000.000,62.711.000.000,62.711.000.000,86770000,,"-0,04116019143",,,,,,,,,,,,,,,
2017-06-01,62.711.000.000,63.637.000.000,60.544.000.000,62.900.000.000,62.900.000.000,65351300,,"0,003013825326",,,,,,,,,,,,,,,
2017-07-01,62.901.000.000,66.048.000.000,62.035.000.000,65.920.000.000,65.920.000.000,53755900,,"0,0480127186",,,,,,,,,,,,,,,
2017-08-01,65.925.000.000,71.506.000.000,65.925.000.000,70.835.000.000,70.835.000.000,68162600,,"0,07456007282",,,,,,,,,,,,,,,
2017-09-01,70.848.000.000,76.420.000.000,70.846.000.000,74.294.000.000,74.294.000.000,68909400,,"0,04883179219",,,,,,,,,,,,,,,
2017-10-01,74.295.000.000,78.024.000.000,73.845.000.000,74.308.000.000,74.308.000.000,65846200,,"0,0001884405201",,,,,,,,,,,,,,,
2017-11-01,74.310.000.000,75.199.000.000,70.825.000.000,71.971.000.000,71.971.000.000,65167600,,"-0,03145018033",,,,,,,,,,,,,,,
2017-12-01,71.955.000.000,76.437.000.000,71.356.000.000,76.402.000.000,76.402.000.000,54645300,,"0,06156646427",,,,,,,,,,,,,,,
2018-01-01,76.403.000.000,86.213.000.000,76.403.000.000,84.913.000.000,84.913.000.000,71837300,,"0,1113976074",,,,,,,,,,,,,,,
2018-02-01,84.913.000.000,88.318.000.000,79.690.000.000,85.481.000.000,85.481.000.000,71597200,,"0,006689199534",,,,,,,,,,,,,,,
2018-03-01,85.337.000.000,87.333.000.000,82.889.000.000,85.366.000.000,85.366.000.000,70136200,,"-0,001345328202",,,,,,,,,,,,,,,
2018-04-01,85.365.000.000,87.179.000.000,82.762.000.000,86.115.000.000,86.115.000.000,61917800,,"0,008773984959",,,,,,,,,,,,,,,
2018-05-01,86.111.000.000,86.678.000.000,75.337.000.000,76.754.000.000,76.754.000.000,96407700,,"-0,1087034779",,,,,,,,,,,,,,,
2018-06-01,76.779.000.000,78.892.000.000,69.069.000.000,72.763.000.000,72.763.000.000,93312000,,"-0,05199729004",,,,,,,,,,,,,,,
2018-07-01,72.763.000.000,80.589.000.000,71.935.000.000,79.220.000.000,79.220.000.000,63627800,,"0,0887401564",,,,,,,,,,,,,,,
2018-08-01,79.213.000.000,81.792.000.000,74.876.000.000,76.678.000.000,76.678.000.000,77877000,,"-0,0320878566",,,,,,,,,,,,,,,
2018-09-01,76.675.000.000,80.107.000.000,74.275.000.000,79.342.000.000,79.342.000.000,59194500,,"0,03474269021",,,,,,,,,,,,,,,
2018-10-01,79.350.000.000,88.377.000.000,78.091.000.000,87.424.000.000,87.424.000.000,110546700,,"0,1018628217",,,,,,,,,,,,,,,
2018-11-01,87.428.000.000,90.246.000.000,84.030.000.000,89.504.000.000,89.504.000.000,83697300,,"0,0237920937",,,,,,,,,,,,,,,
2018-12-01,89.511.000.000,91.242.000.000,83.892.000.000,87.887.000.000,87.887.000.000,79750200,,"-0,01806623168",,,,,,,,,,,,,,,
2019-01-01,87.887.000.000,98.405.000.000,87.536.000.000,97.394.000.000,97.394.000.000,101237300,,"0,1081729949",,,,,,,,,,,,,,,
2019-02-01,97.395.000.000,98.589.000.000,93.424.000.000,95.584.000.000,95.584.000.000,95001600,,"-0,01858430704",,,,,,,,,,,,,,,
2019-03-01,95.584.000.000,100.439.000.000,91.584.000.000,95.415.000.000,95.415.000.000,86699500,,"-0,001768078339",,,,,,,,,,,,,,,
2019-04-01,95.423.000.000,97.610.000.000,92.338.000.000,96.353.000.000,96.353.000.000,90379400,,"0,009830739402",,,,,,,,,,,,,,,
2019-05-01,96.339.000.000,97.992.000.000,89.409.000.000,97.030.000.000,97.030.000.000,98077700,,"0,007026247237",,,,,,,,,,,,,,,
2019-06-01,97.036.000.000,102.617.000.000,95.686.000.000,100.967.000.000,100.967.000.000,88248100,,"0,04057507987",,,,,,,,,,,,,,,
2019-07-01,100.973.000.000,106.650.000.000,100.073.000.000,101.812.000.000,101.812.000.000,94472500,,"0,008369071083",,,,,,,,,,,,,,,
2019-08-01,101.819.000.000,104.848.000.000,95.855.000.000,101.135.000.000,101.135.000.000,118683900,,"-0,006649510863",,,,,,,,,,,,,,,
2019-09-01,101.133.000.000,106.001.000.000,99.406.000.000,104.745.000.000,104.745.000.000,93206100,,"0,0356948633",,,,,,,,,,,,,,,
2019-10-01,104.745.000.000,108.408.000.000,99.826.000.000,107.220.000.000,107.220.000.000,103190700,,"0,02362881283",,,,,,,,,,,,,,,
2019-11-01,107.221.000.000,109.672.000.000,105.261.000.000,108.233.000.000,108.233.000.000,95992100,,"0,009447864204",,,,,,,,,,,,,,,
2019-12-01,108.246.000.000,117.803.000.000,108.190.000.000,115.645.000.000,115.645.000.000,99879900,,"0,0684818863",,,,,,,,,,,,,,,
2020-01-01,115.652.000.000,119.593.000.000,112.825.000.000,113.761.000.000,113.761.000.000,122061200,,"-0,01629123611",,,,,,,,,,,,,,,
2020-02-01,113.761.000.000,117.701.000.000,99.951.000.000,104.172.000.000,104.172.000.000,122284500,,"-0,08429074991",,,,,,,,,,,,,,,
2020-03-01,104.260.000.000,108.804.000.000,61.691.000.000,73.020.000.000,73.020.000.000,270525000,,"-0,299043889",,,,,,,,,,,,,,,
2020-04-01,73.011.000.000,83.598.000.000,67.802.000.000,80.506.000.000,80.506.000.000,209517900,,"0,1025198576",,,,,,,,,,,,,,,
2020-05-01,80.501.000.000,88.091.000.000,75.697.000.000,87.403.000.000,87.403.000.000,220355900,,"0,08567063324",,,,,,,,,,,,,,,
2020-06-01,87.395.000.000,97.693.000.000,86.837.000.000,95.056.000.000,95.056.000.000,232321100,,"0,08755992357",,,,,,,,,,,,,,,
2020-07-01,95.062.000.000,105.704.000.000,95.062.000.000,102.912.000.000,102.912.000.000,212054200,,"0,08264601919",,,,,,,,,,,,,,,
2020-08-01,102.913.000.000,104.523.000.000,98.513.000.000,99.369.000.000,99.369.000.000,202682200,,"-0,03442747201",,,,,,,,,,,,,,,
2020-09-01,99.382.000.000,103.226.000.000,93.408.000.000,94.603.000.000,94.603.000.000,182459100,,"-0,04796264429",,,,,,,,,,,,,,,
2020-10-01,94.604.000.000,102.218.000.000,93.387.000.000,93.952.000.000,93.952.000.000,198128300,,"-0,006881388539",,,,,,,,,,,,,,,
2020-11-01,93.968.000.000,111.603.000.000,93.968.000.000,108.888.000.000,108.888.000.000,217759400,,"0,1589747956",,,,,,,,,,,,,,,
2020-12-01,108.897.000.000,120.150.000.000,108.897.000.000,119.306.000.000,119.306.000.000,177044900,,"0,09567629124",,,,,,,,,,,,,,,
2021-01-01,119.024.000.000,125.324.000.000,114.887.000.000,116.007.000.000,116.007.000.000,186733700,,"-0,027651585",,,,,,,,,,,,,,,