Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation
2020,"7,56","7,68","6,68","9,38","7,37","6,67"
2019,"7,86","7,82","6,62","9,69","8,16","7,03"
2018,"7,95","8,05","6,68","9,73","8,17","7,14"
2017,"7,95","8,06","6,7","9,66","8,25","7,1"
2016,"7,92","7,95","6,75","9,45","8,22","7,22"
2015,"7,92","8,01","6,78","9,39","8,18","7,23"
2014,"7,91","8,04","6,85","8,89","8,43","7,32"
2013,"7,88","8,1","6,83","9,05","7,97","7,44"
2012,"7,91","8,05","6,86","9,14","7,98","7,5"
2011,"8,02","8,04","6,85","9,24","8,16","7,79"
2010,"8,01","7,97","6,88","9,31","8,28","7,61"
2009,"7,94","7,87","6,95","9,33","8,37","7,15"
2008,"7,98","7,95","6,95","8,85","8,81","7,34"
2007,"8,04",8,"6,89","9,11","8,8","7,42"
2006,"7,99","7,65","6,77","9,33","8,72","7,46"
2005,"7,98","7,59","6,62","9,57","8,59","7,52"
2004,"7,83","7,57","6,27","9,16","8,77","7,39"
2003,"7,81","7,47","6,36","8,93","8,89","7,39"
2002,"7,68","7,32","6,37","8,77","8,77","7,15"
2001,"7,56","7,33","6,31","8,66","8,68","6,82"
2000,"7,45","7,34","6,23","9,11","7,18","7,39"
1995,"7,52","7,88","6,27","8,65","7,58","7,23"
1990,"6,75","7,35","5,77","7,55","6,39","6,69"
1985,"5,38","6,51","3,88","6,51","4,44","5,53"
1980,"4,84","5,93","3,66","2,31","6,86","5,45"
1975,"3,65","5,89","3,47",0,"4,38","4,5"
1970,"4,51","6,11","4,05","5,94","1,93",